,YM,SalesRegion,SKU Code,VolumeHL/M,Brand,Package,Segment,Price,Rebate,PromotionVolume,Discount
0,2016-01-01,Heilongjiang,1,60470.88000000002,middle-end 2,Big Bottle,middle-end,74.36769230769235,315557.2,0,15270111.279999997
1,2016-01-01,Heilongjiang,4,2962.08,middle-end 2,Small Bottle,middle-end,74.36769230769235,12866.1,0,761783.16
2,2016-01-01,Heilongjiang,5,302.88,high-end 2,Big Bottle,high-end,74.36769230769235,12397.02,0,96606.48000000001
3,2016-01-01,Heilongjiang,8,3561.0539999999996,high-end 2,Big Bottle,high-end,74.36769230769235,49817.22,0,50453.11999999999
4,2016-01-01,Heilongjiang,9,4881.5999999999985,high-end 2,Big Bottle,high-end,74.36769230769235,27539.94,0,139546.24
5,2016-01-01,Heilongjiang,10,33.264,high-end 2,Small Can,high-end,74.36769230769235,7265.08,0,67029.56000000001
6,2016-01-01,Heilongjiang,11,348.48,high-end 2,Small Bottle,high-end,74.36769230769235,47233.0,0,47232.99999999999
7,2016-01-01,Heilongjiang,12,220.8,high-end 3,Big Bottle,high-end,74.36769230769235,588.24,0,15459.100000000002
8,2016-01-01,Heilongjiang,13,4039.2,low-end 2,Small Bottle,low-end,74.36769230769235,19195.46,0,509243.62
9,2016-01-01,Heilongjiang,14,21127.216,low-end 2,Big Bottle,low-end,74.36769230769235,78062.76,0,1242591.6
10,2016-01-01,Heilongjiang,15,4095.359999999999,low-end 2,Big Bottle,low-end,74.36769230769235,17713.72,0,371466.8
11,2016-01-01,Heilongjiang,16,57769.138,low-end 2,Big Bottle,low-end,74.36769230769235,273489.38,0,5725868.019999999
12,2016-01-01,Heilongjiang,17,3657.600000000001,low-end 2,Big Bottle,low-end,74.36769230769235,21585.24,0,417569.14
13,2016-01-01,Heilongjiang,19,1784.694,low-end 2,Small Bottle,low-end,74.36769230769235,8574.96,0,99461.76
14,2016-01-01,Heilongjiang,21,1373.7600000000004,middle-end 3,Big Bottle,middle-end,74.36769230769235,7793.34,0,278689.06000000006
15,2016-01-01,Heilongjiang,22,15358.464000000002,middle-end 3,Small Can,middle-end,74.36769230769235,112651.32,0,1566335.2599999998
16,2016-01-01,Heilongjiang,23,2678.4000000000005,low-end 3,Big Bottle,low-end,74.36769230769235,15911.38,0,230092.08
17,2016-01-01,Heilongjiang,24,1998.7199999999993,low-end 3,Big Bottle,low-end,74.36769230769235,15057.48,0,135168.9
18,2016-01-01,Heilongjiang,27,22777.557999999997,low-end 2,Big Bottle,low-end,74.36769230769235,156462.92,0,2795663.1
19,2016-01-01,Heilongjiang,29,3888.0,low-end 2,Big Bottle,low-end,74.36769230769235,23843.16,0,704285.74
20,2016-01-01,Heilongjiang,31,38426.40000000001,low-end 2,Big Bottle,low-end,74.36769230769235,167200.0,0,5196528.040000001
21,2016-01-01,Heilongjiang,32,55317.157999999996,low-end 3,Big Bottle,low-end,74.36769230769235,254074.98,0,1629926.42
22,2016-01-01,Heilongjiang,33,4630.42,low-end 3,Big Bottle,low-end,74.36769230769235,29255.02,0,402283.26
23,2016-01-01,Heilongjiang,34,304.79999999999995,high-end 1,Big Bottle,high-end,74.36769230769235,4731.68,0,17670.48
24,2016-01-01,Heilongjiang,36,12561.416,low-end 2,Big Bottle,low-end,74.36769230769235,53680.74,0,509559.4
25,2016-01-01,Heilongjiang,37,10.224,high-end 2,Alu Bottle,high-end,74.36769230769235,6974.36,0,24378.399999999998
26,2016-01-01,Heilongjiang,39,37109.588,low-end 3,Big Bottle,low-end,74.36769230769235,101278.28,0,1822049.74
27,2016-01-01,Heilongjiang,40,52564.156,low-end 3,Big Bottle,low-end,74.36769230769235,112325.74,0,3021978.7
28,2016-01-01,Heilongjiang,41,9568.050000000001,low-end 2,Big Bottle,low-end,74.36769230769235,46298.82,0,507980.56
29,2016-01-01,Heilongjiang,43,4506.12,low-end 2,Big Can,low-end,74.36769230769235,0.0,0,160068.24
30,2016-01-01,Jilin,1,14430.0,middle-end 2,Big Bottle,middle-end,74.36769230769235,109208.02,0,2331285.0400000005
31,2016-01-01,Jilin,3,516.0,middle-end 2,Big Can,middle-end,74.36769230769235,1334.66,1982,17230.899999999998
32,2016-01-01,Jilin,4,2669.0399999999995,middle-end 2,Small Bottle,middle-end,74.36769230769235,12067.9,0,912082.3600000001
33,2016-01-01,Jilin,5,1290.0,high-end 2,Big Bottle,high-end,74.36769230769235,19747.76,0,294716.18
34,2016-01-01,Jilin,6,63.36,high-end 2,Small Bottle,high-end,74.36769230769235,2640.02,0,97319.54
35,2016-01-01,Jilin,7,22.176,high-end 2,Small Bottle,high-end,74.36769230769235,1641.64,0,7642.88
36,2016-01-01,Jilin,8,1976.1599999999996,high-end 2,Big Bottle,high-end,74.36769230769235,16369.88,0,71520.06
37,2016-01-01,Jilin,9,786.0,high-end 2,Big Bottle,high-end,74.36769230769235,6836.06,0,97691.07999999999
38,2016-01-01,Jilin,11,1590.336,high-end 2,Small Bottle,high-end,74.36769230769235,68352.02,0,2516879.6599999997
39,2016-01-01,Jilin,13,3367.5840000000003,low-end 2,Small Bottle,low-end,74.36769230769235,23703.88,0,820562.2399999999
40,2016-01-01,Jilin,16,2612.51,low-end 2,Big Bottle,low-end,74.36769230769235,8253.74,0,41956.16
41,2016-01-01,Jilin,18,234.0,low-end 2,Big Bottle,low-end,74.36769230769235,3090.48,124,30390.18
42,2016-01-01,Jilin,19,3872.8799999999997,low-end 2,Small Bottle,low-end,74.36769230769235,41031.88,0,126950.6
43,2016-01-01,Jilin,20,8130.0,low-end 2,Big Bottle,low-end,74.36769230769235,39188.5,0,1022648.0200000003
44,2016-01-01,Jilin,22,7202.448000000001,middle-end 3,Small Can,middle-end,74.36769230769235,122476.58,96780,639684.0800000001
45,2016-01-01,Jilin,25,18648.336000000003,low-end 2,Big Bottle,low-end,74.36769230769235,159849.12,26000,2190718.7200000007
46,2016-01-01,Jilin,26,4837.478000000001,low-end 2,Big Bottle,low-end,74.36769230769235,33265.06,0,333849.12000000005
47,2016-01-01,Jilin,27,12688.352,low-end 2,Big Bottle,low-end,74.36769230769235,91844.88,32000,1503600.6800000002
48,2016-01-01,Jilin,28,120.0,high-end 2,Big Can,high-end,74.36769230769235,3950.0,0,28872.1
49,2016-01-01,Jilin,30,1578.0,middle-end 3,Big Can,middle-end,74.36769230769235,7251.02,11612,77656.01999999997
50,2016-01-01,Jilin,31,24318.0,low-end 2,Big Bottle,low-end,74.36769230769235,152190.92,0,4408244.159999999
51,2016-01-01,Jilin,34,799.2,high-end 1,Big Bottle,high-end,74.36769230769235,45093.22,0,344022.86000000004
52,2016-01-01,Jilin,35,120.268,low-end 3,Big Bottle,low-end,74.36769230769235,772.74,1808,13533.06
53,2016-01-01,Jilin,37,230.04000000000002,high-end 2,Alu Bottle,high-end,74.36769230769235,5718.98,0,5785.24
54,2016-01-01,Jilin,42,1995.84,low-end 2,Big Can,low-end,74.36769230769235,0.0,111744,191014.87999999998
55,2016-02-01,Heilongjiang,1,40213.92000000001,middle-end 2,Big Bottle,middle-end,74.36769230769235,171276.5,0,7162297.660000001
56,2016-02-01,Heilongjiang,4,2921.8460000000005,middle-end 2,Small Bottle,middle-end,74.36769230769235,11209.44,0,640167.76
57,2016-02-01,Heilongjiang,5,743.04,high-end 2,Big Bottle,high-end,74.36769230769235,14311.06,0,112989.26
58,2016-02-01,Heilongjiang,8,2666.7060000000006,high-end 2,Big Bottle,high-end,74.36769230769235,34853.28,0,34853.28
59,2016-02-01,Heilongjiang,9,2472.1200000000003,high-end 2,Big Bottle,high-end,74.36769230769235,38129.72,0,191519.4
60,2016-02-01,Heilongjiang,10,28.512,high-end 2,Small Can,high-end,74.36769230769235,3859.04,0,33056.00000000002
61,2016-02-01,Heilongjiang,11,744.4800000000001,high-end 2,Small Bottle,high-end,74.36769230769235,45285.66,0,45285.65999999999
62,2016-02-01,Heilongjiang,12,25.44,high-end 3,Big Bottle,high-end,74.36769230769235,780.64,0,29466.72
63,2016-02-01,Heilongjiang,13,1904.9180000000001,low-end 2,Small Bottle,low-end,74.36769230769235,11398.92,0,299399.92000000004
64,2016-02-01,Heilongjiang,14,13009.074,low-end 2,Big Bottle,low-end,74.36769230769235,65519.2,0,984901.84
